Name,Salary,Team,Position,Opp,Pt/$/K,pOWN%,Floor,Ceil,PMIN,DvPRank,DvP,Points
Kevin Huerter,$4.2K,ATL,SG/SF,@ NOP,5.3,2.80%,18.01,31.16,27,13,21.8,22.26
Robin Lopez,$5.3K,CHI,C,@ TOR,4.19,0.30%,7.98,43.84,26,10,30.3,22.22
Pat Connaughton,$4.5K,MIL,SG/SF,HOU,4.91,0.60%,6.14,44.14,28,17,22.81,22.08
Jakob Poeltl,$4.2K,SAS,C,@ CHA,5.24,1.50%,9.02,33.92,23,5,28.81,22
Alex Len,$4.4K,ATL,C,@ NOP,4.88,1.00%,8.93,40.73,20,22,32.47,21.46
Antonio Blakeney,$3.4K,CHI,PG/SG,@ TOR,6.28,14.40%,10.76,33.76,26,19,23.14,21.34
Jahlil Okafor,$3.6K,NOP,C,ATL,5.87,11.30%,5.29,42.26,21,20,32.22,21.14
Ivica Zubac,$5.0K,LAC,C,@ MIN,4.21,0.80%,10.52,39.37,20,7,29.6,21.04
Marvin Williams,$4.4K,CHA,SF/PF,SAS,4.78,1.70%,4.77,42,25,22,32.3,21.01
Luke Kennard,$4.0K,DET,SG/SF,@ DEN,5.13,1.50%,6.62,38.33,27,11,21.69,20.51
Wayne Selden,$3.7K,CHI,SG/SF,@ TOR,5.54,5.20%,5.65,38.91,27,4,36.68,20.48
Justin Jackson,$3.8K,DAL,SG/SF,SAC,5.32,4.10%,5.78,40.4,28,12,21.79,20.21
Trevor Ariza,$5.1K,WAS,SF/PF,@ LAL,3.95,0.50%,4.19,40.28,26,18,25.97,20.15
Ersan Ilyasova,$3.9K,MIL,PF/C,HOU,5.15,0.20%,3.83,36.83,24,13,30.25,20.07
P.J. Tucker,$4.0K,HOU,SF/PF,@ MIL,4.96,0.70%,6.07,31.55,34,29,28.73,19.84
Monte Morris,$3.9K,DEN,PG,DET,5.07,1.10%,16.59,27.68,25,20,40.6,19.77
Ish Smith,$4.2K,DET,PG,@ DEN,4.64,0.40%,5.84,36.37,24,17,20.73,19.47
Darius Miller,$3.7K,NOP,SF/PF,ATL,5.24,2.70%,5.38,38.72,27,30,31.49,19.37
Danuel House Jr.,$4.0K,HOU,SF/PF,@ MIL,4.72,1.60%,5.82,37.76,27,1,35.76,18.89
Danny Green,$4.7K,TOR,SG/SF,CHI,3.97,0.30%,6.53,29.67,26,26,27.64,18.65
Bryn Forbes,$3.6K,SAS,PG/SG,@ CHA,5.1,0.70%,5.05,30.08,27,7,37.25,18.35
Frank Kaminsky,$4.4K,CHA,PF/C,SAS,4.13,0.10%,3.95,36.36,19,1,24.2,18.19
Wayne Ellington,$4.1K,DET,SG/SF,@ DEN,4.4,0.70%,5.85,33.3,26,13,25.28,18.06
Alex Caruso,$4.2K,LAL,PG/SG,WAS,4.29,0.60%,7.48,27.98,22,18,40.54,18.03
Patty Mills,$3.8K,SAS,PG/SG,@ CHA,4.74,0.20%,5.01,36.02,21,15,20.38,18.02
