player,pos,team,rec,yds_rec,tds_rec,att_rush,yds_rush,tds_rush,fl,att_pass,cmp,yds_pass,tds_pass,ints,fpts,sacks,ints,frs,ffs,tds,safeties,pas,yds_against,fg,fga,xpt
Brandin Cooks,WR,LAR,77.6,"1,182.2",5.5,8.8,54.6,0.7,0.7,0,0,0,0,0,159,0,0,0,0,0,0,0,0,0,0,0
Robert Woods,WR,LAR,84.1,"1,123.4",5.6,14.5,100.2,0.7,0.7,0,0,0,0,0,158.9,0,0,0,0,0,0,0,0,0,0,0
Cooper Kupp,WR,LAR,76,"1,013.6",7.9,4.7,28,0.1,0.7,0,0,0,0,0,150.6,0,0,0,0,0,0,0,0,0,0,0
Stefon Diggs,WR,MIN,94.1,"1,011.2",7.4,9.1,48.3,0.1,0.7,0,0,0,0,0,149.5,0,0,0,0,0,0,0,0,0,0,0
Tyreek Hill,WR,KC,59.7,959,7,12.9,84.1,0.6,0.2,0,0,0,0,0,149.2,0,0,0,0,0,0,0,0,0,0,0
Sammy Watkins,WR,KC,76.9,"1,079.7",6.3,4.2,31.2,0.1,0.8,0,0,0,0,0,147.6,0,0,0,0,0,0,0,0,0,0,0
Chris Godwin,WR,TB,78.5,"1,031.7",6,0,0,0,0.9,0,0,0,0,0,137.7,0,0,0,0,0,0,0,0,0,0,0
Alshon Jeffery,WR,PHI,74,975.6,6.9,0,0,0,0.7,0,0,0,0,0,137.3,0,0,0,0,0,0,0,0,0,0,0
Calvin Ridley,WR,ATL,68.1,869.3,7.8,6.6,35.2,0.1,0.8,0,0,0,0,0,136.2,0,0,0,0,0,0,0,0,0,0,0
Kenny Golladay,WR,DET,71.3,"1,034.7",5.4,1.5,10,0,0.7,0,0,0,0,0,135.4,0,0,0,0,0,0,0,0,0,0,0
Jarvis Landry,WR,CLE,85.1,974.1,5.3,2.9,32.5,0.6,0.7,0,0,0,0,0,134.1,0,0,0,0,0,0,0,0,0,0,0
Tyler Lockett,WR,SEA,58.8,887.1,5.9,10.1,58.5,0.1,0.7,0,0,0,0,0,129.3,0,0,0,0,0,0,0,0,0,0,0
D.J. Moore,WR,CAR,65,960.6,3.5,14.9,144.5,0.2,2.4,0,0,0,0,0,128.1,0,0,0,0,0,0,0,0,0,0,0
Robby Anderson,WR,NYJ,57.8,834.4,7.6,3,10.5,0,1.3,0,0,0,0,0,127.8,0,0,0,0,0,0,0,0,0,0,0
Mike Williams,WR,LAC,51.1,771,7.4,6.5,34.8,0.6,0.6,0,0,0,0,0,127.1,0,0,0,0,0,0,0,0,0,0,0
Tyler Boyd,WR,CIN,73.1,966.6,5,1.9,7.1,0,0.7,0,0,0,0,0,126.3,0,0,0,0,0,0,0,0,0,0,0
Dante Pettis,WR,SF,50.3,779.9,8.1,1,-1.5,0,0.7,0,0,0,0,0,125.1,0,0,0,0,0,0,0,0,0,0,0
Marvin Jones,WR,DET,57.7,838.6,6.5,0,0,0,0.8,0,0,0,0,0,121.1,0,0,0,0,0,0,0,0,0,0,0
Sterling Shepard,WR,NYG,67.9,887.1,4.5,4,26.3,0.1,0.6,0,0,0,0,0,117.6,0,0,0,0,0,0,0,0,0,0,0
Will Fuller,WR,HOU,57.4,819.9,5.4,0.5,2.5,0,0.6,0,0,0,0,0,113.5,0,0,0,0,0,0,0,0,0,0,0
Allen Robinson,WR,CHI,61.7,854.1,4.7,0.5,4.5,0,0.7,0,0,0,0,0,112.7,0,0,0,0,0,0,0,0,0,0,0
Dede Westbrook,WR,JAC,67.1,775.3,5.1,7.5,65.8,0.1,1.4,0,0,0,0,0,112.4,0,0,0,0,0,0,0,0,0,0,0
Geronimo Allison,WR,GB,59.7,844.4,4.9,0,0,0,0.7,0,0,0,0,0,112.3,0,0,0,0,0,0,0,0,0,0,0
Christian Kirk,WR,ARI,60,841.6,4.4,3.4,30.4,0,0.7,0,0,0,0,0,112.3,0,0,0,0,0,0,0,0,0,0,0
Curtis Samuel,WR,CAR,45.9,566.9,5,13.8,129.5,1.8,0.6,0,0,0,0,0,109.1,0,0,0,0,0,0,0,0,0,0,0
Courtland Sutton,WR,DEN,50.2,808.7,4.6,0.9,2.2,0,0.2,0,0,0,0,0,108.1,0,0,0,0,0,0,0,0,0,0,0
Mohamed Sanu,WR,ATL,63.3,805.7,4.1,5.7,32.7,0.1,0.7,0,0,0,0,0,107.4,0,0,0,0,0,0,0,0,0,0,0
DeSean Jackson,WR,PHI,47.9,761,4.3,5,31.7,0.6,0.6,0,0,0,0,0,107.1,0,0,0,0,0,0,0,0,0,0,0
Corey Davis,WR,TEN,59.1,795.6,4.2,4.6,33.9,0.1,0.7,0,0,0,0,0,106.9,0,0,0,0,0,0,0,0,0,0,0
Tyrell Williams,WR,OAK,55.7,828.9,4,0.5,5,0,0.8,0,0,0,0,0,105.7,0,0,0,0,0,0,0,0,0,0,0
Larry Fitzgerald,WR,ARI,68.3,714.6,5.8,0,0,0,0.7,0,0,0,0,0,104.7,0,0,0,0,0,0,0,0,0,0,0
Kenny Stills,WR,MIA,49.6,722.2,5.4,0,0,0,0.7,0,0,0,0,0,103.1,0,0,0,0,0,0,0,0,0,0,0
Donte Moncrief,WR,PIT,52.2,727,4.9,0,0,0,0.6,0,0,0,0,0,100.6,0,0,0,0,0,0,0,0,0,0,0
Golden Tate,WR,NYG,73.1,798,3.2,4,26.3,0,0.8,0,0,0,0,0,100.4,0,0,0,0,0,0,0,0,0,0,0
Keke Coutee,WR,HOU,68.1,734.6,4,7.1,25,0.1,0.7,0,0,0,0,0,99.4,0,0,0,0,0,0,0,0,0,0,0
Marquise Brown,WR,BAL,42.4,647.1,4.1,12.2,85.5,0.6,1.1,0,0,0,0,0,98.9,0,0,0,0,0,0,0,0,0,0,0
N'Keal Harry,WR,NE,49.5,707.5,4.7,2.2,13.1,0,1.2,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0
Jamison Crowder,WR,NYJ,54.4,711,4.1,5,33.2,0,0.7,0,0,0,0,0,97.8,0,0,0,0,0,0,0,0,0,0,0
Marqise Lee,WR,JAC,63.1,776.9,3,3,20.4,0,0.6,0,0,0,0,0,96.8,0,0,0,0,0,0,0,0,0,0,0
Michael Gallup,WR,DAL,48.1,728.8,3.9,0,0,0,0.2,0,0,0,0,0,96.1,0,0,0,0,0,0,0,0,0,0,0
James Washington,WR,PIT,52.8,727.3,4,0,0,0,0.6,0,0,0,0,0,95.7,0,0,0,0,0,0,0,0,0,0,0
Parris Campbell,WR,IND,53.5,660.5,4.7,3,17.4,0,1.2,0,0,0,0,0,93.6,0,0,0,0,0,0,0,0,0,0,0
